First Name,Last Name,Jersey Number,Position,Academic Year,Height,Weight,Hometown,Last School
Ty,Claude,0,F,Gr.,6'7",230 lbs,"Goldsboro, N.C.","Moravian Prep (Hudson, N.C.)"
James,Brown,2,F,Fr.,6'10",215 lbs,"Aurora, Ill.","Link Academy (Branson, Mo.)"
Elliot,Cadeau,3,G,So.,6'1",180 lbs,"West Orange, N.J.","Link Academy (Branson, Mo.)"
RJ,Davis,4,G,Gr.,6'0",180 lbs,"White Plains, N.Y.",Archbishop Stepinac
Cade,Tyson,5,G/F,Jr.,6'7",200 lbs,"Monroe, N.C.","Carmel Christian (Matthews, N.C.)"
Elijah,Davis,6,G/F,Sr.,6'3",215 lbs,"Chapel Hill, N.C.","Jordan (Durham, N.C.)"
Seth,Trimble,7,G,Jr.,6'3",195 lbs,"Menomonee Falls, Wis.",Menomonee Falls
Drake,Powell,9,G/F,Fr.,6'6",195 lbs,"Pittsboro, N.C.",Northwood
Ian,Jackson,11,G,Fr.,6'4",190 lbs,"The Bronx, N.Y.",Our Saviour Lutheran
Jalen,Washington,13,F,Jr.,6'10",235 lbs,"Gary, Ind.",West Side
Russell,Hawkins,14,G,So.,6'1",175 lbs,"Charlotte, N.C.",Mallard Creek
John,Holbrook,15,F,Fr.,6'8",230 lbs,"Hickory, N.C.",Hickory
Ven-Allen,Lubin,22,F,Jr.,6'8",230 lbs,"Orlando, Fla.",Orlando Christian
Jae'Lyn,Withers,24,F,Gr.,6'9",220 lbs,"Charlotte, N.C.","North Mecklenburg (Huntersville, N.C.)"
Dante,Mayo Jr.,30,G,Fr.,6'1",175 lbs,"Gaithersburg, Md.",Richard Montgomery
